Rk,Team,Year,G,MP,W,L,WIN%,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Champion,Division,MVP
23,Detroit Pistons,2013,82,241.5,29,53,0.353658537,36.3,81,0.449,6.3,17.6,0.356,30.1,63.4,0.474,15.9,22.8,0.699,12.1,30,42.1,21.2,7,4.9,15.1,19.8,94.9,,Central Division,
10,Golden State Warriors*,2013,82,241.5,47,35,0.573170732,38.2,83.4,0.458,8,19.9,0.403,30.1,63.5,0.475,16.8,21.3,0.79,10.8,34.2,45,22.5,6.9,4.2,15.1,21.4,101.2,,Pacific Division,
12,Houston Rockets*,2013,82,241.2,45,37,0.548780488,38.1,82.7,0.461,10.6,28.9,0.366,27.5,53.8,0.511,19.2,25.5,0.754,11.1,32.3,43.4,23.2,8.3,4.4,16.4,20.3,106,,Southwest Division,
9,Indiana Pacers*,2013,81,241.9,49,32,0.604938272,35.1,80.6,0.436,6.9,19.7,0.347,28.3,60.8,0.465,17.6,23.6,0.746,12.9,33,45.9,20.3,7.2,6.3,15.1,20,94.7,,Central Division,
,League Average,2013,82,241.9,,,#DIV/0!,37.1,82,0.453,7.2,20,0.359,30,62.1,0.483,16.7,22.2,0.753,11.2,31,42.1,22.1,7.8,5.1,14.6,19.8,98.1,,,
5,Los Angeles Clippers*,2013,82,240.6,56,26,0.682926829,38.5,80.6,0.478,7.6,21.4,0.358,30.9,59.2,0.522,16.4,23,0.711,11.4,30.2,41.6,23.9,9.6,5.6,14.6,20.9,101.1,,Pacific Division,
13,Los Angeles Lakers*,2013,82,240.9,45,37,0.548780488,37.1,81,0.458,8.7,24.6,0.355,28.4,56.4,0.503,19.3,27.9,0.692,11.5,33.3,44.8,22.2,7,5.2,15,17.9,102.2,,Pacific Division,
6,Memphis Grizzlies*,2013,82,241.5,56,26,0.682926829,36.1,81.5,0.444,4.7,13.5,0.345,31.5,68,0.463,16.5,21.3,0.773,12.9,29.8,42.7,20.9,8.6,5.3,14,20.2,93.4,,Southwest Division,
1,Miami Heat*,2013,82,242.4,66,16,0.804878049,38.4,77.4,0.496,8.7,22.1,0.396,29.6,55.4,0.536,17.4,23,0.754,8.2,30.4,38.6,23,8.7,5.4,13.9,18.7,102.9,Yes,Southeast Division,Yes
18,Milwaukee Bucks*,2013,82,241.8,38,44,0.463414634,38.1,87.8,0.435,7.3,20.4,0.36,30.8,67.4,0.457,15.3,20.7,0.736,13,30.9,44,22.9,8.4,6.7,14.1,19,98.9,,Central Division,
22,Minnesota Timberwolves,2013,82,240.6,31,51,0.37804878,35.9,81.7,0.439,5.5,18,0.305,30.4,63.7,0.477,18.5,24.9,0.742,11.9,30.2,42,22.4,8.5,4.7,14.8,18.4,95.7,,Northwest Division,
26,New Orleans Hornets,2013,82,241.2,27,55,0.329268293,36,80.4,0.448,6.5,18,0.363,29.5,62.4,0.473,15.5,20,0.776,12,29.6,41.6,21,6.3,5.4,14.5,20.4,94.1,,Southwest Division,
7,New York Knicks*,2013,82,240.6,54,28,0.658536585,36.5,81.6,0.448,10.9,28.9,0.376,25.7,52.7,0.487,16,21.1,0.759,10.9,29.7,40.6,19.3,8.2,3.6,12,20.1,100,,Atlantic Division,
2,Oklahoma City Thunder*,2013,82,241.8,60,22,0.731707317,38.1,79.3,0.481,7.3,19.4,0.377,30.8,60,0.514,22.2,26.8,0.828,10.4,33.2,43.6,21.4,8.3,7.6,15.3,20.2,105.7,,Northwest Division,
30,Orlando Magic,2013,82,241.2,20,62,0.243902439,37.7,84.2,0.448,6.2,18.7,0.329,31.5,65.5,0.482,12.5,16.6,0.755,10.9,31.9,42.7,22.8,6.4,4.4,14.5,19.4,94.1,,Southeast Division,
19,Philadelphia 76ers,2013,82,240.9,34,48,0.414634146,37.3,84.1,0.444,6.3,17.5,0.36,31,66.5,0.466,12.2,16.8,0.729,10.9,30.4,41.3,22.8,7.4,4.7,13,18.4,93.2,,Atlantic Division,
27,Phoenix Suns,2013,82,241.5,25,57,0.304878049,37.3,84.4,0.443,5.9,17.7,0.33,31.5,66.6,0.473,14.7,19.7,0.744,11.7,29.9,41.6,22.6,8,5.3,15.6,20.6,95.2,,Pacific Division,
21,Portland Trail Blazers,2013,82,242.1,33,49,0.402439024,36.7,81.9,0.448,8.2,23.2,0.353,28.5,58.7,0.486,15.9,20.5,0.776,10.7,30.2,40.8,21.8,6.6,4.3,14.7,18.5,97.5,,Northwest Division,
25,Sacramento Kings,2013,82,241.8,28,54,0.341463415,37.6,84.2,0.447,7.4,20.5,0.363,30.2,63.7,0.474,17.5,22.8,0.769,11.5,29.1,40.6,20.8,8.2,4.2,14.6,20.9,100.2,,Pacific Division,
3,San Antonio Spurs*,2013,82,242.4,58,24,0.707317073,39.1,81.4,0.481,8.1,21.5,0.376,31.1,59.9,0.519,16.6,21,0.791,8.1,33.2,41.3,25.1,8.5,5.4,14.7,17.4,103,,Southwest Division,
20,Toronto Raptors,2013,82,243.7,34,48,0.414634146,36.3,81.5,0.446,7,20.3,0.343,29.4,61.2,0.48,17.6,22.3,0.788,10.6,29.6,40.2,21.5,7.3,4.8,13.7,22.4,97.2,,Atlantic Division,
15,Utah Jazz,2013,82,242.4,43,39,0.524390244,37.1,81.8,0.454,6.2,16.9,0.366,31,64.9,0.477,17.5,23,0.764,12.1,30,42,22.7,8.4,6.3,14.8,21.3,98,,Northwest Division,
24,Washington Wizards,2013,82,242.1,29,53,0.353658537,35.5,81.6,0.435,6.6,18.2,0.365,28.8,63.4,0.455,15.6,21.3,0.733,10.8,32.3,43.2,21.6,7.3,4.6,15.1,20.5,93.2,,Southeast Division,
